timestamp,source_mac,destination_mac,source_ip,destination_ip,source_port,destination_port,protocol,length,ttl,tcp_flags,tcp_window,icmp_type,icmp_code,dns_query,http_method,http_host,http_path,packet_direction
2025-04-27 12:06:31,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,104.18.18.125,192.168.1.33,443,2960,TCP,352,58,PSH ACK,65535,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-04-27 12:06:31,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,104.18.18.125,2960,443,TCP,54,128,ACK,63806,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-04-27 12:06:31,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,104.18.18.125,2960,443,TCP,392,128,PSH ACK,63806,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-04-27 12:06:31,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,104.18.18.125,2960,443,TCP,85,128,PSH ACK,63806,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-04-27 12:06:31,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,104.18.18.125,192.168.1.33,443,2960,TCP,60,58,ACK,65535,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-04-27 12:06:31,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,104.18.18.125,192.168.1.33,443,2960,TCP,89,58,PSH ACK,65535,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-04-27 12:06:31,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,104.18.18.125,192.168.1.33,443,2960,TCP,89,58,PSH ACK,65535,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-04-27 12:06:31,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,104.18.18.125,2960,443,TCP,54,128,ACK,63736,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-04-27 12:06:31,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,104.18.18.125,192.168.1.33,443,2960,TCP,60,58,ACK,65535,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-04-27 12:06:32,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,104.18.18.125,192.168.1.33,443,2960,TCP,352,58,PSH ACK,65535,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-04-27 12:06:32,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,104.18.18.125,2960,443,TCP,54,128,ACK,63438,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-04-27 12:06:32,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,1.1.1.1,61066,53,DNS,74,128,N/A,N/A,N/A,N/A,api2.cursor.sh.,N/A,N/A,N/A,Outbound
2025-04-27 12:06:32,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,1.1.1.1,192.168.1.33,53,61066,DNS,175,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-04-27 12:06:32,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,104.18.19.125,54228,443,TCP,62,128,SYN,64240,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-04-27 12:06:32,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,104.18.19.125,192.168.1.33,443,54228,TCP,62,58,SYN ACK,65535,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-04-27 12:06:32,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,104.18.19.125,54228,443,TCP,54,128,ACK,64240,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-04-27 12:06:32,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,104.18.19.125,54228,443,TCP,571,128,PSH ACK,64240,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-04-27 12:06:32,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,104.18.19.125,192.168.1.33,443,54228,TCP,60,58,ACK,65535,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-04-27 12:06:32,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,104.18.19.125,192.168.1.33,443,54228,TCP,257,58,PSH ACK,65535,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-04-27 12:06:32,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,104.18.19.125,54228,443,TCP,1570,128,PSH ACK,64037,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
