#,Time,Source MAC,Destination MAC,Source IP,Destination IP,Protocol,Source Port,Destination Port,Length,TTL,TCP Flags,UDP Length,UDP Checksum,HTTP Method,HTTP Host,HTTP Path,HTTP Status,DNS ID,DNS QR,DNS Opcode,DNS QName,DNS QType,DNS AnsName,DNS AnsRData,DNS AnsType,ICMP Type,ICMP Code,ARP Opcode,ARP HW Src,ARP IP Src,ARP HW Dst,ARP IP Dst,DHCP Msg Type,SNMP Community,SNMP PDU Type,SNMP ReqID,SNMP OID,SNMP Value,TLS Content Type,TLS Version,TLS Handshake Type
1,2025-05-22 00:59:15,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,35.207.251.10,192.168.1.33,UDP,50003,65497,89,56,,55,0x4705,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2025-05-22 00:59:15,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,35.207.251.10,192.168.1.33,UDP,50003,65497,89,56,,55,0x7a1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2025-05-22 00:59:15,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,65.2.250.192,192.168.1.33,TCP,,,130,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2025-05-22 00:59:15,c8:3a:35:16:d6:08,ff:ff:ff:ff:ff:ff,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2025-05-22 00:59:15,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,35.207.251.10,192.168.1.33,UDP,50003,65497,89,56,,55,0xb20a,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2025-05-22 00:59:15,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,35.207.251.10,192.168.1.33,UDP,50003,65497,89,56,,55,0x580,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2025-05-22 00:59:15,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,65.2.250.192,192.168.1.33,TCP,,,130,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2025-05-22 00:59:15,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,65.2.250.192,192.168.1.33,TCP,,,130,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2025-05-22 00:59:15,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,65.2.250.192,192.168.1.33,TCP,,,72,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2025-05-22 00:59:15,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,228.9.176.238,192.168.1.33,TCP,53982,23,130,64,FIN+SYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2025-05-22 00:59:15,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,54.175.168.239,TCP,4734,443,54,128,FIN+ACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2025-05-22 00:59:15,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,228.9.176.238,192.168.1.33,TCP,,,130,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2025-05-22 00:59:15,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,228.9.176.238,192.168.1.33,TCP,,,130,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2025-05-22 00:59:15,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,228.9.176.238,192.168.1.33,TCP,,,130,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2025-05-22 00:59:15,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,228.9.176.238,192.168.1.33,TCP,,,130,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2025-05-22 00:59:15,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,228.9.176.238,192.168.1.33,TCP,,,130,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2025-05-22 00:59:15,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,54.175.168.239,192.168.1.33,TLS,443,4734,78,230,PSH+ACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,771,
18,2025-05-22 00:59:15,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,54.175.168.239,192.168.1.33,TCP,443,4734,60,230,FIN+ACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2025-05-22 00:59:15,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,54.175.168.239,TCP,4734,443,54,128,RST+ACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2025-05-22 00:59:15,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,228.9.176.238,192.168.1.33,TCP,,,130,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2025-05-22 00:59:15,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,228.9.176.238,192.168.1.33,TCP,,,130,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2025-05-22 00:59:15,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,35.207.250.212,192.168.1.33,UDP,50001,60971,94,58,,60,0xc736,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2025-05-22 00:59:15,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,35.207.250.212,192.168.1.33,UDP,50001,60971,94,58,,60,0x8e9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2025-05-22 00:59:15,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,228.9.176.238,192.168.1.33,TCP,,,130,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2025-05-22 00:59:15,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,35.207.250.212,192.168.1.33,UDP,50001,60971,110,58,,76,0x3ccb,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2025-05-22 00:59:15,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,228.9.176.238,192.168.1.33,TCP,,,130,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2025-05-22 00:59:15,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,228.9.176.238,192.168.1.33,TCP,,,130,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2025-05-22 00:59:15,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,228.9.176.238,192.168.1.33,TCP,,,130,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2025-05-22 00:59:15,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,228.9.176.238,192.168.1.33,TCP,,,130,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2025-05-22 00:59:15,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,228.9.176.238,192.168.1.33,TCP,,,130,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2025-05-22 00:59:16,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,35.207.251.10,192.168.1.33,UDP,50003,65497,94,56,,60,0x92fc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2025-05-22 00:59:16,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,228.9.176.238,192.168.1.33,TCP,,,130,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
